,Make,Model,Body style,Year,Car location,Mileage,Transmission,Steering wheel,State,Color,Engine,Engine volume,Interior color,Doors,Power,Wheels,Drive,Cylinders,VIN Code
232,Ford,Fusion,Sedan,2013,"Armenia, Երևան",119000 mile,Automatic,Left,Excellent,White,Petrol,3,,4,240,,Front,2,
233,Toyota,Camry,Sedan,2010,"Armenia, Վանաձոր",214000 km,Automatic,Left,Excellent,White,Petrol,2.5,Black,,,,Front,,4T1BF3EK2BU676377
234,Lexus,RX 350 F Sport,SUV,2017,"Armenia, Կապան",94600 mile,Automatic,Left,Excellent,Black,Petrol,3.5,Black,5,300,"20""",All,6,
235,Nissan,Sunny,Sedan,2007,"Armenia, Երևան",139205 km,Manual,Left,Good,Silver,,,,,,,,,
236,BMW,5 Series,Sedan,2017,"Armenia, Երևան",58000 km,Automatic,Left,Excellent,Gray,,,,,,,,,
237,Mercedes-Benz,C 230,Sedan,2006,"Armenia, Էջմիածին",240 km,Automatic,Left,Good,White,,,,,,,,,
238,Kia,Sorento,SUV,2006,"Armenia, Yerevan",141000 km,Automatic,Left,Excellent,Silver,Diesel,2.5,Gray,,,,All,4,KNAJC52487A710101
239,BMW,528,Sedan,2010,"Armenia, Երևան",270000 km,Automatic,Left,Good,Black,Petrol,,Black,4,,"17""",All,,WBANV1C52AC444434
240,Mercedes-Benz,200,Sedan,2000,"Armenia, Գյումրի",200000 km,Manual,Left,Excellent,Blue,Petrol,,Black,4,137,"16""",Rear,4,
241,Lexus,RX 330,SUV,2005,"Armenia, Վանաձոր",137000 mile,Automatic,Left,Good,Silver,Petrol,3.3,Black,,230,,,,2T2HA31U75C059817
242,BMW,318,Sedan,1991,"Armenia, Ստեփանավան",150000 km,Manual,Left,Normal,Black,Gas,1.6,Beige,4,105,,Rear,1,
243,Lexus,IS 250,Sedan,2009,"Armenia, Երևան",123000 mile,Automatic,Left,Excellent,Cherry,Petrol,2.5,Black,,204,,All,,
244,Mercedes-Benz,E 320,Sedan,1997,"Armenia, Արտաշատ",31565 km,Automatic,Left,Good,Blue,Petrol,3.2,Black,4,224,"16""",Rear,6,
245,Volkswagen,Passat,Sedan,2001,"Armenia, Արմավիր",270000 km,Automatic,Left,Crashed,Blue,,,,,,,,,
246,Cadillac,SRX,SUV,2003,"Armenia, Երևան",216000 km,Automatic,Left,Excellent,Silver,,,,,,,,,
247,Mercedes-Benz,C 180,Sedan,1998,"Armenia, Երևան",218000 km,Manual,Left,Excellent,White,,,,,,,,,
248,Mercedes-Benz,Viano,Sedan,2004,"Armenia, Երևան",202000 km,Automatic,Right,Good,Silver,Gas,3.2,Silver,5,218,"16""",Rear,,
249,Audi,A4,Sedan,2008,"Armenia, Երևան",170000 km,CVT,Left,Good,White,Petrol,2,Brown,4,200,"17""",Front,4,
250,Other,Other,Wagon,2004,"Armenia, Չարենցավան",1 km,Manual,Left,Excellent,Blue,,,,,,,,,
251,Nissan,Teana,Sedan,2004,"Armenia, Երևան",178000 km,Automatic,Left,Good,Silver,Gas,2.3,Beige,,,"17""",Front,,
252,Mercedes-Benz,C 220,Sedan,1995,"Armenia, Էջմիածին",270000 km,Manual,Left,Excellent,Green,,,,,,,,,
253,Toyota,Sienna,Van,2017,"Armenia, Գյումրի",53512 km,Automatic,Left,Excellent,White,Petrol,3.5,,5,,,All,6,
254,Kia,Optima,Sedan,2015,"Armenia, Երևան",150000 km,Automatic,Left,Excellent,Black,,,,,,,,,
255,Nissan,Teana,Sedan,2004,"Armenia, Երևան",270000 km,Automatic,Left,Excellent,Beige,,,,,,,,,
256,Toyota,4-Runner,SUV,2016,"Armenia, Գյումրի",2875 km,Automatic,Left,Excellent,White,Petrol,3.5,,5,,,All,6,
257,GAZ,21 Волга,Sedan,1967,"Armenia, Երևան",22000 km,Manual,Left,Normal,Beige,,,,,,,,,
258,BMW,325,Sedan,2002,"Armenia, Երևան",227000 km,Automatic,Left,Good,Black,Gas,2.5,Black,4,192,"16""",Rear,6,
259,BMW,3 Series,Sedan,2005,"Armenia, Երևան",130 km,Automatic,Left,Excellent,Other color,Gas,2.5,Beige,5,193,"16""",Rear,6,
